name,review,star,review_num,ave_star
인크커피 가산 플래그십 스토어,더보기,5.0,10,5.0
인크커피 가산 플래그십 스토어,이 근처에는 없는 느낌..맛있는데 커피가 많이 진했어요더보기,5.0,87,3.2
인크커피 가산 플래그십 스토어,트리가 있고 카페가 넓어서 좋아요! 레몬마들렌도 맛남더보기,5.0,217,4.5
인크커피 가산 플래그십 스토어,다른 후기들처럼 정말 탈가산 바이브!커피랑 베이커리맛은 평범~ 맛있다인데 공간도 4층까지 여러 테마로 있고 매우 넓고 화장실도 좋음더보기,5.0,12,4.1
인크커피 가산 플래그십 스토어,더보기,5.0,23,4.6
인크커피 가산 플래그십 스토어,더보기,5.0,10,5.0
인크커피 가산 플래그십 스토어,핫초코에서 꼬랑내 나고 커피는 볶은지 좀 오래된 맛 분위기는 좋았음더보기,2.0,21,2.2
인크커피 가산 플래그십 스토어,대형 카페같지 않게 직원분들이 친절하시네요. 식기부터 인테리어까지 눈 닿는 모든 곳에 빈틈 없이 신경을 많이 쓰신것 같아요.더보기,5.0,7,4.6
인크커피 가산 플래그십 스토어,Coffee더보기,4.0,"8,535",3.3
인크커피 가산 플래그십 스토어,더보기,5.0,18,3.9
인크커피 가산 플래그십 스토어,디저트랑 음료 다 맛있어요 ㅎ더보기,5.0,29,4.4
